 name	ra	dec	gal_b2	gal_l2	hard_hs	hard_hm	hard_ms	var_inter_prob_b	var_inter_sigma_b	var_intra_prob_b	var_inter_index_b	kp_intra_prob_b	var_intra_index_b	h-csc	b-csc	m-csc	s-csc	u-csc	0p3_8_csc	FUV	NUV	u-sdss	g-sdss	r-sdss	i-sdss	z-sdss	W1	W2	W3	W4	4.5 microns (IRAC)	8.0 microns (IRAC)	24 microns (MIPS)	J	H	K	3.6 microns (IRAC)	5.8 microns (IRAC)	G	Bp	Rp	B-R	G-J	G-W2	Bp-H	Bp-W3	Rp-K	J-H	J-W1	W1-W2
2CXO J135607.3+413615	J13:56:07.3	41:36:15	8.92737420711068	2.35020430090287	3.63125000000001	5.99375000000002	2.76250000000001	10	0	0.599522285349138	6.25	7.73590607080928	0	4.03189089968367E-05	0.565419627200288	0.257297097390866	0.343810740672387	0.812127455938703	0.393195590188683	6.87416299483052	7.31862314480738	4.34805676062833	7.90626754331712	4.84308681672026	6.93858241803448	7.34465815372574	6.6143539338866	5.68879935201146	6.28917077754287	0.536004787260726	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	8.43833080136726	8.70322245322245	2.44136402939905	5.18730753354136E-05	3.61497636959499E-05	7.29721654638687	6.61621777629907	7.07404136536188	2.07636548442697	3.79533578321769	4.53492592294094	2.80448179610052	4.1997016205192	3.94598131665858	3.32946080776328	5.16059438866789	6.7328320802005
2CXO J114039.7-262844	J11:40:39.7	-26:28:44	6.88143393058747	7.88424440321549	2.95000000000002	4.18750000000002	3.7125	10	0	4.69322666601948	6.25	9.74486905684671	0	1.8724551791675E-09	0.00569728130030486	0.00194449746316135	0.00497250775826217	0.00852066194756511	0.00282913187535764	0.538111924504736	0.596275870818428	5.51118439041909	3.89164295840985	6.39163987138264	7.73705212061376	8.21779021060108	3.38935509295749	4.06488192901202	7.69955367629786	0.535431462622817	1.95374601429147E-05	9.25177894122115E-05	0.000132924466045859	7.46558108621344	6.66272916272916	1.92215196714224	1.12220971752387E-05	3.20462046833482E-05	7.98957012810836	7.40263591978097	4.78475704703958	2.04603094112176	0	0	0	0	0	3.04448848493133	3.7702847761571	5.16040100250627
2CXO J105136.4+402431	J10:51:36.4	40:24:31	8.45783870423325	4.91518380025691	4.25624999999998	6.7375	2.64999999999997	10	0	7.05552145466827	6.25	7.14539512329528	2	2.05331890180478E-07	0.0523644106409258	0.0187992168600432	0.0363679651095308	0.0847636227798333	0.0341869824863911	0.538111924504736	8.57175397757526	5.63251696737937	8.53102372094351	6.32167202572348	7.84606524332552	8.38806835476063	8.25096202883768	7.12870464599472	7.71294338736199	0.561141489354078	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	7.46558108621344	6.66272916272916	1.92215196714224	5.18730753354136E-05	3.61497636959499E-05	8.53648683635052	7.8521357534263	8.22487375036515	2.2552476736491	0	4.57551344442356	0	4.43237247386547	0	3.04448848493133	3.7702847761571	6.79649122807017
2CXO J142123.9+463318	J14:21:23.9	46:33:18	8.55461384028343	2.40293597388004	5.62500000000002	5.86875	4.74375	8.0577323063256	0.00400973339510843	5.78502120571683	6.25	7.38348553066741	1	3.46697566345817E-10	0.0096880719898874	0.0023079663978488	0.00917403692164624	0.0178445531930301	0.00521144208078951	0.538111924504736	0.596275870818428	7.14605209995552	8.17658924612501	5.17028938906752	7.06750586202641	7.43397156233241	7.17974871343131	6.46742403788241	6.19661733615222	0.506568150383052	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	8.85278199772123	8.91773766773767	2.48358463035019	5.18730753354136E-05	3.61497636959499E-05	7.61587003512543	7.10386494005219	7.22636186838836	2.82706927168656	3.57209159252701	4.07843586850082	3.1139319655631	4.77562584677231	3.94007461015321	3.90213900088841	5.19848035191851	6.07619047619047
2CXO J114427.5+672203	J11:44:27.5	67:22:03	7.70461878156983	3.68227056541552	5.50625000000001	5.4375	5.0625	10	0	1.48566981812538	6.25	2.19155582078999	0	8.13417985327488E-07	0.322269121495642	0.0748706181691072	0.287544109448732	0.525169526467814	0.177679620441474	7.49432744683066	8.49799799703592	5.44104691981066	8.15627467958172	4.9740927882407	6.81287941561914	7.0991674103584	6.66512123881497	6.05038526241459	6.15386422363167	0.497914531629604	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	8.28641283706798	8.34813834813835	2.36502918287938	5.18730753354136E-05	3.61497636959499E-05	8.7404437630709	7.33705660468118	7.23905603332682	3.32161394384023	6.39668680713832	6.08604662837097	4.10977546816446	5.04991733194142	4.69179729548601	3.91922367252102	4.91244132937636	5.96992481203007
2CXO J143627.8+343417	J14:36:27.8	34:34:17	8.70201294432681	1.60353505934293	2.39375000000001	10	0	9.14261931376844	0.0104769742564746	4.7305518920372	7.5	9.28841913409394	0	8.82877419594573E-08	0.0206300185993819	0.0123492973729681	0.00980113748202822	0.0232777733190581	0.0254056762640434	8.87620997120355	8.94954914085912	5.44996714674589	8.42321855048193	6.21324758842444	7.73696984655889	8.19352687953851	8.55394315916362	7.39226152152692	7.33356824054499	0.55329410837269	0.000110805220253426	0.00210835535467495	0.00250894183330365	7.46558108621344	6.66272916272916	1.92215196714224	5.84179004476451E-05	0.000356529748268991	8.50032204110895	7.80750409873851	8.15205736294235	2.31923855293943	0	4.22494579805574	0	4.6666219874928	0	3.04448848493133	3.7702847761571	6.81553884711779
2CXO J142644.3+333053	J14:26:44.3	33:30:53	8.82377668804427	1.55635714580715	5.61249999999998	6.74999999999998	3.64374999999999	3.218695433166	0.00267507717729365	8.26107818935992	0	0.0846450502415533	2	1.37333846888084E-07	0.00589613411628153	0.00133491960194279	0.00379158480205576	0.00672833791128375	0.00288453443827466	0.538111924504736	0.596275870818428	5.51118439041909	3.89164295840985	6.39163987138264	7.73705212061376	8.21779021060108	8.85553340442302	8.11522565369998	7.55156213295748	0.568899288360793	5.63264381315486E-05	0.00117361495855733	0.0018335760000838	7.46558108621344	6.66272916272916	1.92215196714224	2.60395472467894E-05	0.000143022924194675	7.98957012810836	7.40263591978097	4.78475704703958	2.04603094112176	0	0	0	0	0	3.04448848493133	3.7702847761571	5.72280701754385
2CXO J010514.4+000226	J01:05:14.4	00:02:26	1.49694765929112	3.62374954926312	3.14375	4.66875	3.44375	10	0	0.69234248645991	6.25	7.44399555531002	0	8.33727364561996E-08	0.110113090377743	0.0690047870775235	0.0879807640161529	0.112462176444819	0.0588411229844652	7.85279117371544	8.4550265363907	5.96812738783689	8.52868574473377	6.04409738171796	7.5196135470108	7.88570683154192	7.78246557559461	7.02049886809695	7.35353535353535	0.549477916251604	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	9.08232054690467	9.00609525609525	2.58950767401643	5.18730753354136E-05	3.61497636959499E-05	9.07073594884688	8.06872852922431	8.11681175364363	2.9847245874148	5.51309883849877	5.4264591544283	4.15013871513668	4.9236787362542	4.77372860119699	4.30738741201395	4.9565363810486	6.04461152882206
2CXO J111452.8+531531	J11:14:52.8	53:15:31	8.25530344721905	4.1866205616994	4.9625	5.69999999999999	4.25624999999998	7.1467415996663	0.0140824635487336	5.9831495875088	6.25	9.03095173462116	1	1.18641419420733E-06	0.0656811862994161	0.0238740610204994	0.0507605100874372	0.0945300548161347	0.0635503408324119	0.538111924504736	0.596275870818428	6.09262577082713	8.59701038088623	6.23061093247588	7.70817392735201	8.11212731726407	7.7912745143493	6.72018110448815	6.91707775428706	0.516798411890753	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	7.46558108621344	6.66272916272916	1.92215196714224	5.18730753354136E-05	3.61497636959499E-05	8.50888555563854	7.91968927753971	8.0237047520376	2.86021525441391	0	5.0050304001538	0	5.09151606448039	0	3.04448848493133	3.7702847761571	6.78847117794486
2CXO J083722.4+582501	J08:37:22.4	58:25:01	7.04075251238855	4.40724529787256	5.1	6.06875	4.03125	10	0	0.943001434937708	6.25	3.66436072328725	0	9.9341064767371E-07	0.886184970433021	0.218092129786338	0.605456892945532	1.50753903199773	0.420896871647193	8.38405093154772	9.11600468255326	4.98900130188672	8.19171812706357	5.46752411575563	7.2664445267185	7.63990549765918	7.75812508693032	6.73388855427942	6.82781301385953	0.539646294531199	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	9.10534561336878	9.16036666036666	2.61402939904885	5.18730753354136E-05	3.61497636959499E-05	7.81756139597167	7.1734578120553	7.51130726806778	2.34096341430376	3.4481710052039	4.04831710745912	2.8906652312959	4.38103325270689	3.61191314852016	3.92742431490467	5.00926101323904	6.68370927318296
