#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	"[""""]"	[meta.id]	
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	"[""arcsec""]"	[pos.angDistance]	
#Column	probability	(F9.2)	Probability that master source and user source are a match	(cross_match.probability)	"[""""]"	[stat.probability]	
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	"[""""]"	[]	
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	"[""s""]"	[]	
#Column	acis_num	(I4)	Total number of ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_num)	"[""""]"	[]	
#Column	hrc_num	(I4)	Total number of HRC imaging observations contributing to the Master Sources Table record of the source	(master_source.hrc_num)	"[""""]"	[]	
#Column	hrc_time	(F9.1)	Total livetime for all HRC imaging observations contributing to the Master Sources Table record of the source	(master_source.hrc_time)	"[""s""]"	[]	
usrid	separation	probability	name	acis_time	acis_num	hrc_num	hrc_time
66	1.31	0	2CXO J145200.2+430348	55268.7	3	0	         
67	0.15	0.62	2CXO J161216.7+293423	4386	1	0	         
68	1.03	0	2CXO J131654.2+291322	111341.1	1	0	         
69	0.2	0.58	2CXO J033250.1-274135	4399162.1	64	0	         
70	1	0	2CXO J162453.5+375806	3993	1	0	         
71	1.63	0	2CXO J234738.6-280500	39586.5	2	0	         
72	0.99	0.01	2CXO J111450.7+570336	4714.4	1	0	         
73	0.88	0.42	2CXO J145230.2+425635	55265.6	3	0	         
74	1.3	0	2CXO J103027.0+052455	7952.4	1	0	         
75	0.12	0.8	2CXO J121537.4+471353	72728.1	1	0	         
76	0.76	0.1	2CXO J114333.4-004524	14137.6	1	0	         
77	1.44	0	2CXO J142800.6+350454	9031.1	2	0	         
78	1.11	0	2CXO J105303.7+572923	101634.1	3	1	124531.5
79	1.47	0	2CXO J100057.7+023932	236388.6	8	0	         
80	1.24	0	2CXO J142616.5+335326	19257.9	3	0	         
81	0.04	0.94	2CXO J095910.3+020732	191264.1	4	0	         
82	1.46	0.05	2CXO J145249.3+425315	17677.3	1	0	         
83	1.3	0.19	2CXO J112432.0+385103	17959.2	1	0	         
84	0.22	0.61	2CXO J000330.4-260121	29693.8	3	0	         
85	0.93	0.12	2CXO J222456.2+653130	95660.7	3	0	         
86	0.18	0.56	2CXO J011537.7+002029	37615.1	1	0	         
87	0.21	0.8	2CXO J143335.3+022718	3497.5	1	0	         
88	0.39	0.52	2CXO J033750.1-050817	59739.4	1	0	         
89	0.98	0	2CXO J091027.0+542055	171046.6	2	0	         
90	1.48	0.56	2CXO J232646.5+002617	8838.9	1	0	         
91	0.66	0.07	2CXO J123549.3+621537	1529315.2	14	0	         
92	0.91	0.31	2CXO J091736.1+113840	9985.7	1	0	         
93	0.38	0.68	2CXO J131212.9+215644	10931.6	1	0	         
94	0.08	0.79	2CXO J091039.8+542034	171046.6	2	0	         
95	1	0.19	2CXO J123726.3+620432	267916.8	3	0	         
96	1.47	0	2CXO J080523.2+281815	14272.3	1	0	         
97	0.8	0.02	2CXO J150721.0+554559	33727.8	1	0	         
98	0.16	0.58	2CXO J204812.1+070117	7950.8	1	0	         
99	0.99	0	2CXO J122527.4+223512	1557.3	1	0	         
100	1.49	0	2CXO J131208.6-010709	21486.2	1	0	         
101	0.78	0.02	2CXO J084827.3+445434	186619.7	2	0	         
102	1.43	0.05	2CXO J120017.0-011417	14858.9	1	0	         
103	1.4	0	2CXO J095808.8+021648	185995.8	4	0	         
104	0.14	0.64	2CXO J123622.9+621527	1797232	17	0	         
105	1.5	0	2CXO J133605.5+070718	24279.4	2	0	         
106	0.95	0.11	2CXO J100132.9+555906	15272.6	5	0	         
107	0.92	0.09	2CXO J104418.2+590642	71114.7	1	0	         
108	1.53	0.05	2CXO J142620.2+351711	19562.1	2	0	         
109	0.18	0.77	2CXO J093514.3+170944	49382.5	1	0	         
110	1.62	0	2CXO J123404.7-022627	5263.7	1	0	         
111	0.73	0.14	2CXO J082714.8+291211	14656.8	1	0	         
112	0.19	0.9	2CXO J125749.0+470604	63260.5	1	0	         
113	0.64	0.74	2CXO J114912.9+654614	7848.1	1	0	         
114	0.71	0.03	2CXO J003455.1-433544	33676.4	2	0	         
115	0.23	0.43	2CXO J084840.6+445733	186600.6	2	0	         
116	0.35	0.28	2CXO J100001.0+022321	238176	8	0	         
117	1.17	0	2CXO J033252.8-275120	5826096.8	84	0	         
118	0.26	0.68	2CXO J005843.8-273458	11768.8	1	0	         
119	0.05	0.92	2CXO J154012.9+304520	7982.2	1	0	         
120	0.49	0.13	2CXO J175911.9+663512	46058.9	1	0	         
121	0.91	0	2CXO J010522.5-715649	667479.3	78	2	29976.5
122	0.26	0.37	2CXO J121417.8+293143	5023.7	1	0	         
123	1.71	0	2CXO J135646.0+102608	19804.1	1	0	         
124	1.23	0.64	2CXO J121054.0+140928	5159.4	1	0	         
125	0.11	0.72	2CXO J091557.3+292618	19215.4	1	0	         
126	0.11	0.77	2CXO J112943.9-013752	4815	1	0	         
127	1.7	0.01	2CXO J135353.1-021557	37671.5	1	0	         
128	1.43	0.09	2CXO J135609.4+413717	2013.1	1	0	         
129	1.31	0	2CXO J074618.6+230623	6954	1	0	         
130	0.92	0.28	2CXO J122033.0-001433	19677.2	1	0	         
131	0.68	0.39	2CXO J112322.6+084806	9937.2	1	0	         
132	1.25	0.02	2CXO J111959.4+063641	15843.4	1	0	         
133	0.72	0.04	2CXO J114103.9-263047	39273	1	0	         
134	1.5	0.07	2CXO J122142.7+112412	5061.5	1	0	         
135	0.2	0.53	2CXO J153952.2+420356	8037.7	1	0	         
136	0.82	0.01	2CXO J110049.6+103841	26684.9	1	0	         
137	0.34	0.71	2CXO J094135.7+521318	5570.2	1	0	         
138	0.2	0.5	2CXO J084902.5+445706	186616.7	2	0	         
139	0.77	0.01	2CXO J144340.6+585653	5791.3	1	0	         
140	0.25	0.39	2CXO J100033.5+013811	148498	3	0	         
141	0.72	0.03	2CXO J042610.3-220217	4669.7	1	0	         
142	0.16	0.64	2CXO J053923.5-284223	44557.9	2	0	         
