name,significance,var_flag,ra,dec,missing,class,prob,var_inter_prob_b,var_intra_prob_b,kp_intra_prob_b
2CXO J081902.5+212343,4.702702702702525,1,124.76046514085276,21.395388231414266,0.2542372881355932,AGN,0.9999618750231798,,8.494022502097911,9.434227130439742
2CXO J081921.4+203253,3.999999999999999,1,124.83953415927988,20.54817733275452,0.3559322033898305,AGN,0.9999459369082,,6.326621598825763,7.294788684634489
2CXO J081926.6+205322,6.255174492403501,1,124.8610373132202,20.889485955845114,0.2711864406779661,AGN,0.9999522072472128,,9.175915606704082,8.893595570315602
2CXO J082046.6+204804,5.142857142856968,1,125.19426883668469,20.801326645050665,0.423728813559322,AGN,0.999962092172712,,8.271507300792694,8.603142700086455
2CXO J082117.9+211044,8.205226748048466,1,125.3247487436497,21.17901258846743,0.3389830508474576,AGN,0.9999798766731726,,4.73605030950324,9.393448777192743
2CXO J082140.6+470853,2.756756756756735,1,125.41948609359372,47.148184606426646,0.423728813559322,AGN,0.9999512762237222,,8.680152660213269,8.323097411791126
2CXO J084012.2+563147,7.8116753575149245,1,130.0510569585242,56.5299810312514,0.3898305084745763,AGN,0.9999797585067616,,9.1915276215257,9.948926543580617
2CXO J084027.9+562148,6.8525972334482805,1,130.1164075900981,56.36340678035211,0.3559322033898305,AGN,0.9999211641955624,,4.169432438284824,7.944588785619986
2CXO J084212.4+292215,7.901738864613629,1,130.5519936648143,29.370835487341914,0.3050847457627119,AGN,0.999994732921867,,3.179559804345676,7.2535474236088735
2CXO J084617.5+521742,3.2941176470589237,1,131.57318150782032,52.29523413428353,0.423728813559322,AGN,0.999952664498242,,6.3568225191302,8.344051474507369
2CXO J084947.3+451411,5.525604535222409,1,132.44712284211528,45.23644060568971,0.3728813559322034,AGN,0.9999605235097088,,5.9816054971474575,8.977644034162777
2CXO J085310.3+503243,9.546441132799627,1,133.29302633350972,50.545534504421504,0.4915254237288136,AGN,0.9999524929038586,,,
2CXO J085315.7+510038,4.971428571428256,1,133.3156346179694,51.01069160622496,0.423728813559322,AGN,0.9999243790317048,,8.458160423116084,9.980100516957373
2CXO J085339.4+511013,10.729890501732587,1,133.41436021994025,51.17052223591561,0.3220338983050847,AGN,0.9999638293426172,,9.145447693569192,1.9341646080720958
2CXO J085401.1+511605,13.3012347814843,1,133.50487893372016,51.26817981224637,0.3220338983050847,AGN,0.9999913650407602,,1.5679782682999552,5.501979774735599
2CXO J085407.8+502321,5.314285714285701,1,133.5326840868961,50.38935480402309,0.3728813559322034,AGN,0.9999746500007948,,2.598670764062437,4.126355330701155
2CXO J085522.0+451556,3.7948717948717854,1,133.8420411707234,45.265713116650886,0.423728813559322,AGN,0.9999355700497412,,2.105169355941963,4.297387119300007
2CXO J091613.8+300032,4.777777777777739,1,139.0576246554043,30.009011138458696,0.3728813559322034,AGN,0.9999556915853324,,5.6769700511049885,5.3238015789925335
2CXO J091615.6+300049,3.874999999999943,1,139.06520256168244,30.01364177528717,0.3220338983050847,AGN,0.9999371764356396,,5.500346227421045,8.497340430507839
2CXO J091624.5+294848,8.58128864864387,1,139.1024709418573,29.813412796452337,0.2542372881355932,AGN,0.9999772406497164,,9.35145782213701,9.710349476037589
2CXO J091636.4+295841,5.600909700207602,1,139.15196969768758,29.97818068549037,0.3559322033898305,AGN,0.9999786029990672,,6.84857239426159,9.149535655758793
2CXO J091933.3+302132,7.678131499455245,1,139.88892393510764,30.35898915420439,0.2711864406779661,AGN,0.999980295445372,,7.7389782209495115,6.2581316711961925
2CXO J093312.3+525422,3.0285714285715137,1,143.3014557074514,52.906284508744534,0.4406779661016949,AGN,0.9999486544814348,,8.764069865818032,9.626068213414849
2CXO J093318.3+365433,5.788623959889686,1,143.32636928510254,36.909319402472775,0.4406779661016949,AGN,0.9999135434979328,,1.0788790285961904,5.184239562673254
2CXO J094026.8+312243,3.812500000000096,1,145.1118219723112,31.378690144742595,0.5423728813559322,AGN,0.9999413940889279,,1.1459206076095791,0.564035341959458
2CXO J094312.0+321317,4.500000000000128,1,145.80009234385875,32.22147296032588,0.4067796610169492,AGN,0.9999805472939242,,0.7700245530035709,9.256790462378236
2CXO J094316.6+320853,6.6765013868894005,1,145.81951070518147,32.148249919214955,0.3898305084745763,AGN,0.999976634924918,,8.946080021566242,8.790680256073433
2CXO J101627.3-000714,9.807562668689794,1,154.11391543494244,-0.12077632085578505,0.288135593220339,AGN,0.9999330685831564,,7.193182151001568,9.963534766250165
2CXO J101731.3+213703,3.794871794871802,1,154.3805048577566,21.617637492101498,0.3898305084745763,AGN,0.9999738594283948,,0.7682306349996407,5.131352190208765
2CXO J101917.1+474146,7.065669306254561,1,154.8215297007182,47.6961944796883,0.3220338983050847,AGN,0.9999411128217146,,9.357406530778784,9.923968238089232
2CXO J102150.4+484146,3.3529411764707033,1,155.46039114575922,48.69613157608301,0.4406779661016949,AGN,0.9999560553538104,,3.7132451276813567,5.228292803214586
2CXO J103246.5+575852,7.518700341243628,1,158.1940910141077,57.98113426236065,0.288135593220339,AGN,0.9999850732487728,,1.827535197327809,7.904916352398952
2CXO J103406.1+572032,6.296904189278988,1,158.52582729514825,57.34231156266981,0.3050847457627119,AGN,0.9999907375053428,,9.069782720910762,7.862167669324213
2CXO J104332.5+585827,6.6506076972453085,1,160.88543312331103,58.974271213723505,0.2711864406779661,AGN,0.9999233635268026,,9.562167654086926,7.5086260070817366
2CXO J104355.3+590101,3.874999999999989,1,160.98056864620818,59.01703224047539,0.2711864406779661,AGN,0.9999269552386684,,1.4798112879323446,0.2982457574198552
2CXO J104418.5+583431,6.467124040348074,1,161.07717057938973,58.57531349026656,0.4576271186440678,AGN,0.999945667274112,,2.2211547847615067,8.224322154798292
2CXO J104434.9+584602,7.485794980940707,1,161.1457853356419,58.7673065303095,0.2033898305084746,AGN,0.9999900929626466,,0.9080208309995306,4.096861131535628
2CXO J104617.6+133623,7.6442595967043045,1,161.57372132525097,13.606456416974757,0.4067796610169492,AGN,0.9999796630766924,,9.59334535843938,9.81090525235749
2CXO J104709.9+584713,2.1111111111110903,1,161.7915769596384,58.78713507933381,0.2711864406779661,AGN,0.9999772787661404,,5.258031854317221,3.7137922623433166
2CXO J104731.8+135755,7.92076739146168,1,161.88255078962789,13.965335557947324,0.3389830508474576,AGN,0.9999700096268648,,7.685323853091812,9.14852173377959
2CXO J104736.9+584139,3.6500000000000514,1,161.90404585650174,58.69444132421783,0.3220338983050847,AGN,0.9999111597791258,,3.2444199333959403,8.855775488032778
2CXO J104816.8+591801,6.00109071025912,1,162.0702429815041,59.300393018261424,0.2711864406779661,AGN,0.999976834352144,,5.5769127311831665,0.2813593065424138
2CXO J104911.9+590154,5.622992778126808,1,162.29998396875817,59.03175331524213,0.2711864406779661,AGN,0.999974216678722,,6.5459393226835845,9.752061681806099
2CXO J105010.0+580303,4.64864864864872,1,162.54184139255744,58.05094583437962,0.23728813559322035,AGN,0.9999807366096252,,7.123300359737258,5.793573206302757
2CXO J105951.4+020038,6.9328663186475765,1,164.96424512847352,2.010741068864335,0.3389830508474576,AGN,0.9999700169487844,,9.260359477154502,9.46194940550713
2CXO J110013.7+020625,2.1578947368421235,1,165.05710501588683,2.1071295892144817,0.423728813559322,AGN,0.9999381565909159,,9.122372088800047,8.966585380181822
2CXO J110437.4+594621,10.132087169149589,1,166.15584012167642,59.77277006647435,0.3220338983050847,AGN,0.9999804274510388,,0.9784499362699492,3.3394004727556847
2CXO J111230.4+405812,3.294117647058824,1,168.12686275908527,40.970265149151174,0.4406779661016949,AGN,0.9999645983809416,,9.604546241902852,9.756907831222797
2CXO J111323.3+173333,7.900145456683218,1,168.34739553108432,17.559184785537845,0.3220338983050847,AGN,0.9999323836181144,,2.050355119652145,3.729456817499185
2CXO J111516.7+404113,8.576968708829591,1,168.81999726029326,40.68703453378984,0.423728813559322,AGN,0.9999631755559344,,0.7996539486681582,6.055570716793612
2CXO J111634.4+174117,4.777777777777875,1,169.14360998127162,17.68828616968961,0.4406779661016949,AGN,0.9999186456496214,,9.736367584355477,4.897430072430778
2CXO J111650.5+180610,7.337181102105883,1,169.21068476489404,18.102918097360998,0.4067796610169492,AGN,0.9999618603512148,,1.4564113361051014,7.963834728237098
2CXO J111709.8+181218,20.32161668748482,1,169.2912039738294,18.205203614776707,0.3559322033898305,AGN,0.9999505871672166,,7.9916411928682765,9.802634194327304
2CXO J111711.8+173520,2.7567567567568063,1,169.29940663478044,17.589049652233506,0.4406779661016949,AGN,0.9999749246175555,,9.441826715065778,9.801547133756829
2CXO J112023.0+132157,4.258064516128977,1,170.09599101268736,13.366018355354324,0.3559322033898305,AGN,0.9999523453282184,,2.3350846283654927,3.490501575095597
2CXO J112646.1+534921,7.4715590500353315,1,171.692402865605,53.8226726025243,0.3898305084745763,AGN,0.9999279593166456,,1.4037666778288949,3.6068223827145194
2CXO J112822.8+565015,5.5151515151518025,1,172.09511748531986,56.83764778324386,0.4067796610169492,AGN,0.9999526937358799,,9.812133064287544,2.7657774317494686
2CXO J114205.3-014847,3.2777777777777715,1,175.52228032712296,-1.8132822557090944,0.423728813559322,AGN,0.9999599537505398,,4.7693117094699415,7.0360359719494925
